unit_price,avg_comp_price,price_premium,price_vs_comp1,price_vs_comp2,price_vs_comp3,is_anomaly
45.95,116.94999999999999,0.3929029499786234,-43.95,-169.05,0.0,False
45.95,114.94999999999999,0.3997390169638974,-43.95,-163.05,0.0,False
45.95,113.61666666666666,0.4044301012175444,-43.95,-159.05,0.0,False
45.95,111.78660130000002,0.41105105142864734,-43.95,-153.55980390000002,0.0,False
45.95,99.7495699,0.4606536153094732,-43.95,-117.44870970000001,0.0,False
45.95,60.6,0.7582508250825083,-43.95,0.0,0.0,False
40.53181818,56.98787878666667,0.711235775799452,-49.368181820000004,0.0,0.0,False
39.99,56.15607843000001,0.7121223760282436,-48.498235290000004,0.0,0.0,False
39.99,55.62666666666667,0.7188998082454457,-46.910000000000004,0.0,0.0,False
39.99,55.62666666666667,0.7188998082454457,-46.910000000000004,0.0,0.0,False
39.99,55.62666666666667,0.7188998082454457,-46.910000000000004,0.0,0.0,False
39.99,55.00833333333333,0.7269807604908347,-45.055,0.0,0.0,False
39.99,54.54320512666667,0.733180235872287,-43.65961538,0.0,0.0,False
39.99,53.293333333333344,0.7503752814610957,-39.910000000000004,0.0,0.0,False
39.99,52.63777777666667,0.7597205218212463,-37.943333329999994,0.0,0.0,False
39.24,50.826666666666675,0.7720356768100733,-34.76,0.0,0.0,False
69.9,69.9,1.0,0.0,0.0,0.0,False
82.63333333,82.63333333,1.0,0.0,0.0,0.0,False
97.58823529,72.46274509666667,1.3467366597803527,37.68823529,37.68823529,0.0,False
89.0,69.60000000000001,1.2787356321839078,29.1,29.1,0.0,False
89.0,59.9,1.4858096828046745,29.1,29.1,29.1,False
97.33333333,59.9,1.6249304395659434,37.43333333,37.43333333,37.43333333,False
99.0,59.9,1.652754590984975,39.1,39.1,39.1,False
99.0,59.9,1.652754590984975,39.1,39.1,39.1,False
99.0,53.28031332666666,1.858097181092416,46.59305556,45.35171875,45.21428571,False
99.0,55.425000000000004,1.7861975642760486,43.9,43.575,43.25,False
99.5,49.9,1.993987975951904,49.6,49.6,49.6,False
101.0,50.60076805,1.9960171335778767,50.45483871,50.1,50.64285714,False
101.0,53.9,1.8738404452690167,47.1,47.1,47.1,False
101.0,53.9,1.8738404452690167,47.1,47.1,47.1,False
19.9,19.9,1.0,0.0,0.0,0.0,False
19.9,19.9,1.0,0.0,0.0,0.0,False
19.9,19.9,1.0,0.0,0.0,0.0,False
21.54285714,21.250793650000002,1.013743650934185,0.0,0.8761904699999974,0.0,False
24.5,24.5,1.0,0.0,0.0,0.0,False
24.5,24.5,1.0,0.0,0.0,0.0,False
32.5,32.5,1.0,0.0,0.0,0.0,False
32.5,32.58095238,0.9975153464191031,0.0,-0.24285713999999814,0.0,False
35.05714286,34.77142857333333,1.0082169268962906,0.0,0.8571428599999962,0.0,False
36.2,36.2,1.0,0.0,0.0,0.0,False
36.2,36.2,1.0,0.0,0.0,0.0,False
36.2,36.2,1.0,0.0,0.0,0.0,False
59.9,59.9,1.0,0.0,0.0,0.0,False
59.9,59.9,1.0,0.0,0.0,0.0,False
59.9,59.9,1.0,0.0,0.0,0.0,False
59.9,59.9,1.0,0.0,0.0,0.0,False
59.9,59.9,1.0,0.0,0.0,0.0,False
59.9,59.9,1.0,0.0,0.0,0.0,False
51.32222222,53.28031332666666,0.963249256912935,-1.0847222199999962,-2.326059029999996,-2.463492070000001,False
56.97777778,55.425000000000004,1.0280158372575552,1.8777777799999953,1.5527777799999996,1.2277777799999967,False
49.9,49.9,1.0,0.0,0.0,0.0,False
51.4,50.60076805,1.015794858078246,0.8548387099999957,0.5,1.0428571399999953,False
53.9,53.9,1.0,0.0,0.0,0.0,False
53.9,53.9,1.0,0.0,0.0,0.0,False
52.9,53.39419002333333,0.9907444981726032,-0.5151515200000034,-0.8095238100000017,-0.15789474000000325,False
49.9,49.9,1.0,0.0,0.0,0.0,False
49.9,49.903333333333336,0.9999332041947765,-0.00999999999999801,0.0,0.0,False
49.9,49.903333333333336,0.9999332041947765,-0.00999999999999801,0.0,0.0,False
19.99,34.99,0.571306087453558,0.0,0.0,-45.0,False
19.99,58.32333333333332,0.3427444704806539,0.0,-70.0,-45.0,False
19.99,34.99,0.571306087453558,0.0,0.0,-45.0,False
19.99,58.32333333333332,0.3427444704806539,0.0,-70.0,-45.0,False
19.99,56.25984127,0.3553156132109364,0.0,-70.0,-38.80952381,False
19.99,56.41222222333332,0.3543558330473232,0.0,-70.0,-39.266666670000006,False
23.39740741,57.45913580333333,0.40720082338312275,0.0,-66.59259259,-35.59259259,False
23.99,57.656666666666666,0.4160837139388333,0.0,-66.0,-35.0,False
23.99,57.656666666666666,0.4160837139388333,0.0,-66.0,-35.0,False
23.99,57.656666666666666,0.4160837139388333,0.0,-66.0,-35.0,False
23.99,57.656666666666666,0.4160837139388333,0.0,-66.0,-35.0,False
23.99,57.656666666666666,0.4160837139388333,0.0,-66.0,-35.0,False
23.99,57.656666666666666,0.4160837139388333,0.0,-66.0,-35.0,False
23.99,55.57333333333333,0.43168186180422263,0.0,-59.75,-35.0,False
23.99,54.32333333333333,0.4416150211695404,0.0,-56.0,-35.0,False
23.99,54.32333333333333,0.4416150211695404,0.0,-56.0,-35.0,False
23.99,54.32333333333333,0.4416150211695404,0.0,-56.0,-35.0,False
23.99,55.26714285666666,0.43407346137319236,0.0,-58.83142857,-35.0,False
134.99,121.65666666666668,1.109598049154725,35.000000000000014,5.0,0.0,False
134.99,117.30250000000001,1.1507853626308049,35.000000000000014,18.062500000000014,0.0,False
146.99,122.32333333333334,1.2016513611466877,47.000000000000014,27.000000000000014,0.0,False
157.3603704,129.1134568,1.2187759068658133,57.3703704,27.370370399999985,0.0,False
166.99,132.32333333333335,1.2619845328362345,67.00000000000001,37.0,0.0,False
166.99,86.49333333333334,1.930669030368429,67.00000000000001,37.0,137.49,False
176.99,135.65666666666667,1.3046907634469371,77.00000000000001,47.0,0.0,False
173.8081818,88.32666666666667,1.967788306287267,73.8181818,43.81818179999999,138.8081818,False
169.99,84.95111111,2.001033274066143,80.12666667,40.0,134.99,False
110.99,57.656666666666666,1.925015898710759,87.0,21.0,51.99999999999999,False
110.99,57.656666666666666,1.925015898710759,87.0,21.0,51.99999999999999,False
110.99,55.57333333333333,1.9971809021113245,87.0,27.25,51.99999999999999,False
116.5284615,85.16948716666667,1.3681949413640064,0.0,36.53846150000001,57.538461500000004,False
119.99,54.32333333333333,2.208811437687918,96.0,40.0,60.99999999999999,False
122.99,54.32333333333333,2.2640363257041174,99.0,43.0,63.99999999999999,False
122.99,54.32333333333333,2.2640363257041174,99.0,43.0,63.99999999999999,False
122.99,55.26714285666666,2.2253728642888255,99.0,40.16857143,63.99999999999999,False
56.99,56.99,1.0,0.0,0.0,0.0,False
56.99,56.99,1.0,0.0,0.0,0.0,False
56.99,85.49333333333334,0.666601684341859,0.0,-85.50999999999999,0.0,False
56.99,85.49333333333334,0.666601684341859,0.0,-85.50999999999999,0.0,False
56.99,85.49333333333334,0.666601684341859,0.0,-85.50999999999999,0.0,False
56.99,77.34333333333333,0.7368443735723829,0.0,-61.059999999999995,0.0,False
56.99,77.32666666666667,0.7370031899301664,0.0,-61.01,0.0,False
56.99,77.29333333333334,0.737321028117992,0.0,-60.910000000000004,0.0,False
56.99,77.28962963333333,0.7373563603599086,0.0,-60.898888899999996,0.0,False
50.49,72.89333333333333,0.6926559356136821,0.0,-67.21000000000001,0.0,False
49.99,72.65166666666667,0.6880778142277075,0.0,-67.98499999999999,0.0,False
49.99,72.89333333333333,0.6857965977684288,0.0,-68.71000000000001,0.0,False
49.99,72.29555556666666,0.6914671255814916,0.0,-66.91666670000001,0.0,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
99.99,105.63583333333332,0.9465538051324125,0.0,-16.9375,0.0,False
99.99,76.49333333333333,1.3071727383649991,0.0,0.0,70.49,False
99.99,106.65666666666665,0.9374941400756321,0.0,-20.0,0.0,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
99.99,86.49333333333334,1.1560428549406503,0.0,-30.000000000000014,70.49,False
99.99,109.99000000000001,0.9090826438767159,0.0,-30.000000000000014,0.0,False
97.952,88.32666666666667,1.1089742622084686,-2.0379999999999967,-32.03800000000001,62.952,False
84.6925,84.95111111,0.9969557654205943,-5.170833330000008,-45.297500000000014,49.692499999999995,False
89.99,58.32333333333332,1.542950220037721,70.0,0.0,25.0,False
89.99,58.32333333333332,1.542950220037721,70.0,0.0,25.0,False
89.99,56.25984127,1.599542372829023,70.0,0.0,31.19047619,False
89.99,56.41222222333332,1.5952216816372493,70.0,0.0,30.733333329999994,False
89.99,57.45913580333333,1.566156517007335,66.59259259,0.0,30.999999999999993,False
89.99,57.656666666666666,1.5607908885933977,66.0,0.0,30.999999999999993,False
89.99,57.656666666666666,1.5607908885933977,66.0,0.0,30.999999999999993,False
89.99,57.656666666666666,1.5607908885933977,66.0,0.0,30.999999999999993,False
89.99,57.656666666666666,1.5607908885933977,66.0,0.0,30.999999999999993,False
89.99,57.656666666666666,1.5607908885933977,66.0,0.0,30.999999999999993,False
89.99,57.656666666666666,1.5607908885933977,66.0,0.0,30.999999999999993,False
83.74,55.57333333333333,1.506837811900192,59.75,0.0,24.749999999999993,False
